#x-axis,1,2
#second,Volt,Volt
-994.900E-03,-20.101E-03,-20.101E-03
-993.000E-03,-20.101E-03,+0.0E+00
-991.100E-03,-30.151E-03,-8.794E-03
-989.200E-03,-40.201E-03,+0.0E+00
-987.300E-03,-28.894E-03,-10.050E-03
-985.400E-03,-38.945E-03,-20.101E-03
-983.500E-03,-89.196E-03,-40.201E-03
-981.600E-03,-180.905E-03,-18.844E-03
-979.700E-03,-189.698E-03,+48.995E-03
-977.800E-03,-119.347E-03,+60.302E-03
-975.900E-03,-40.201E-03,+30.151E-03
-974.000E-03,+0.0E+00,+0.0E+00
-972.100E-03,-28.894E-03,+0.0E+00
-970.200E-03,-40.201E-03,+0.0E+00
-968.300E-03,-28.894E-03,+0.0E+00
-966.400E-03,+0.0E+00,+0.0E+00
-964.500E-03,-8.794E-03,+0.0E+00
-962.600E-03,-18.844E-03,+0.0E+00
-960.700E-03,-20.101E-03,+0.0E+00
-958.800E-03,+0.0E+00,+0.0E+00
-956.900E-03,-20.101E-03,+0.0E+00
-955.000E-03,-20.101E-03,+0.0E+00
-953.100E-03,+0.0E+00,+10.050E-03
-951.200E-03,+18.844E-03,+18.844E-03
-949.300E-03,-8.794E-03,+10.050E-03
-947.400E-03,+0.0E+00,+18.844E-03
-945.500E-03,-20.101E-03,+10.050E-03
-943.600E-03,+18.844E-03,+40.201E-03
-941.700E-03,+90.452E-03,+80.402E-03
-939.800E-03,+120.603E-03,+20.101E-03
-937.900E-03,+69.095E-03,-10.050E-03
-936.000E-03,+18.844E-03,-20.101E-03
-934.100E-03,+0.0E+00,-20.101E-03
-932.200E-03,-18.844E-03,+0.0E+00
-930.300E-03,+8.794E-03,+10.050E-03
-928.400E-03,+18.844E-03,-18.844E-03
-926.500E-03,+0.0E+00,-10.050E-03
-924.600E-03,-18.844E-03,+0.0E+00
-922.700E-03,-20.101E-03,+0.0E+00
-920.800E-03,+0.0E+00,-18.844E-03
-918.900E-03,-20.101E-03,+0.0E+00
-917.000E-03,+0.0E+00,-18.844E-03
-915.100E-03,-8.794E-03,-10.050E-03
-913.200E-03,-20.101E-03,+0.0E+00
-911.300E-03,-20.101E-03,-8.794E-03
-909.400E-03,-20.101E-03,+0.0E+00
-907.500E-03,-30.151E-03,+0.0E+00
-905.600E-03,-20.101E-03,+0.0E+00
-903.700E-03,-40.201E-03,-20.101E-03
-901.800E-03,-80.402E-03,+0.0E+00
-899.900E-03,-90.452E-03,+40.201E-03
-898.000E-03,-59.045E-03,+40.201E-03
-896.100E-03,-30.151E-03,+0.0E+00
-894.200E-03,-20.101E-03,+18.844E-03
-892.300E-03,-20.101E-03,+0.0E+00
-890.400E-03,-38.945E-03,+0.0E+00
-888.500E-03,-10.050E-03,+0.0E+00
-886.600E-03,-20.101E-03,+0.0E+00
-884.700E-03,-10.050E-03,-8.794E-03
-882.800E-03,-18.844E-03,-18.844E-03
-880.900E-03,-40.201E-03,-8.794E-03
-879.000E-03,-20.101E-03,+18.844E-03
-877.100E-03,+0.0E+00,-10.050E-03
-875.200E-03,-20.101E-03,-18.844E-03
-873.300E-03,-8.794E-03,+0.0E+00
-871.400E-03,-20.101E-03,+18.844E-03
-869.500E-03,-10.050E-03,+0.0E+00
-867.600E-03,-18.844E-03,+0.0E+00
-865.700E-03,-8.794E-03,-8.794E-03
-863.800E-03,-38.945E-03,+38.945E-03
-861.900E-03,+10.050E-03,+40.201E-03
-860.000E-03,+20.101E-03,+20.101E-03
-858.100E-03,+8.794E-03,+20.101E-03
-856.200E-03,-18.844E-03,-20.101E-03
-854.300E-03,+10.050E-03,-8.794E-03
-852.400E-03,-18.844E-03,+18.844E-03
-850.500E-03,-10.050E-03,-10.050E-03
-848.600E-03,+0.0E+00,-18.844E-03
-846.700E-03,-10.050E-03,+0.0E+00
-844.800E-03,+0.0E+00,+0.0E+00
-842.900E-03,-8.794E-03,+0.0E+00
-841.000E-03,+0.0E+00,+0.0E+00
-839.100E-03,-20.101E-03,+10.050E-03
-837.200E-03,-20.101E-03,+0.0E+00
-835.300E-03,-20.101E-03,+0.0E+00
-833.400E-03,-18.844E-03,+0.0E+00
-831.500E-03,-30.151E-03,+0.0E+00
-829.600E-03,+0.0E+00,+0.0E+00
-827.700E-03,-8.794E-03,+0.0E+00
-825.800E-03,-20.101E-03,-18.844E-03
-823.900E-03,-28.894E-03,-8.794E-03
-822.000E-03,+0.0E+00,+0.0E+00
-820.100E-03,+8.794E-03,+30.151E-03
-818.200E-03,+0.0E+00,+18.844E-03
-816.300E-03,+0.0E+00,+10.050E-03
-814.400E-03,-38.945E-03,+0.0E+00
-812.500E-03,-8.794E-03,-20.101E-03
-810.600E-03,-20.101E-03,-20.101E-03
-808.700E-03,-20.101E-03,+0.0E+00
-806.800E-03,-20.101E-03,+0.0E+00
-804.900E-03,-10.050E-03,+0.0E+00
-803.000E-03,-18.844E-03,+0.0E+00
-801.100E-03,+0.0E+00,+0.0E+00
-799.200E-03,+0.0E+00,+0.0E+00
-797.300E-03,-20.101E-03,+0.0E+00
-795.400E-03,+0.0E+00,+0.0E+00
-793.500E-03,-10.050E-03,-8.794E-03
-791.600E-03,+0.0E+00,-18.844E-03
